Uø1923.10.5. 4:53:52	 cica
1984.13.18. 2:42:1	 -1
1999.12.1. 2:57:53	 15
1966.7.26. 13:31:2	 43
1939.0.12. 8:5:52	 cicakutya
1955.5.21. 6:60:60	 39
1946.11.-1. 1:63:4	 19
1939.4.31. 17:37:37	 cicakutya
1920.-1.10. 23:27:47	 cica
1990.8.31. 6:23:1	 -7
2008.8.25. 23:26:27	 4
1980.-1.23. 14:51:40	 44
1975.13.1. 4:38:15	 30
1961.7.18. 25:31:6	 38
1945.5.5. 15:17:53	 -17
1926.11.26. 17:65:59	 kutya
1980.9.31. 25:63:50	 34
1949.3.26. 20:15:53	 -20
1958.11.6. 18:3:16	 -17
2006.1.29. 19:65:28	 -14
1982.2.30. 15:24:8	 38
1963.7.7. 14:40:2	 44
1948.1.5. 7:27:33	 40
2009.3.28. 5:16:39	 -9
1927.-1.29. 1:34:3	 kutya
1940.0.27. 14:1:8	 13
2008.4.0. 3:55:41	 -21
1966.-1.2. 0:65:22	 12
1993.9.18. 15:60:12	 -20
1920.7.1. 6:31:33	 cica
1930.7.33. 12:19:34	 cicakutya
1923.7.16. 12:9:21	 cica
1959.12.33. 13:9:35	 -26
1967.8.2. 9:43:36	 -12
